quo.QuotationNumber,ql.ItemID,ql.Description,ql.Quality,ql.Cues,ql.Price,ql.Discount,ql.Total,job.JobCode,job.JobReferenceCode,jobn.Value
MK-QUO-2301-002,2444,Cable & Accessories,1.0,1.0,10000.0,0.0,10000.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2301-002,2974,MA Network Processor Unit (NPU),3.0,1.0,15000.0,0.0,45000.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2301-002,3009,Intercom Master Station (Wired - Two Channel),1.0,2.0,800.0,0.0,1600.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2301-002,2959,Power Dimmer 5 Kw. 24 Ch.,1.0,1.0,2500.0,0.0,2500.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2301-002,2969,grandMA 2 Full-Size Console,2.0,1.0,50000.0,0.0,100000.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2301-002,3076,MARTIN MAC Viper Performance 1000 W.,21.0,1.0,8500.0,0.0,178500.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2301-002,0,ADDITIONAL,0.0,0.0,0.0,0.0,0.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2301-002,3007,Intercom Beltpack (Wired - Single Channel),15.0,2.0,500.0,0.0,15000.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2301-002,3012,HME DX200 Wireless Intercom Master Station,1.0,2.0,0.0,0.0,0.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2301-002,3099,STRONG Super Trouper Long Throw Xenon 2 Kw.,4.0,1.0,7000.0,0.0,28000.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2301-002,3081,TERBLY PT189B Moving Head Beam/ Philips Platinum 5R,52.0,1.0,2500.0,0.0,130000.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2301-002,0,LIGHTING SYSTEM,0.0,0.0,0.0,0.0,0.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2301-002,2471,Transportation,1.0,1.0,18000.0,0.0,18000.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2301-002,2995,LOOK SOLUTION Viper NT Smoke Machine,12.0,1.0,3500.0,0.0,42000.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2301-002,2470,Operate,1.0,1.0,8000.0,0.0,8000.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2301-002,2445,Structure,1.0,1.0,85000.0,0.0,85000.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2301-002,2469,Lighting System Installation & Dismantle,1.0,1.0,80000.0,0.0,80000.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2301-002,0,INTERCOM SYSTEM,0.0,0.0,0.0,0.0,0.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2301-002,3083,PR XLED 1037 4in1 RGBW Zoom Moving Head Wash 37x10w.,32.0,1.0,2500.0,0.0,80000.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2301-002,3060,THOMAS MoleFay 4 lite Blinder 650 W. X 4 (Black),24.0,1.0,800.0,0.0,19200.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2301-002,3011,HME Wireless Intercom Beltpack (Single Line),8.0,2.0,2000.0,0.0,32000.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2301-002,3087,CKC Sweeper Y1640 LED RGBW 4in1 16x40w.,36.0,1.0,3500.0,0.0,126000.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2301-002,2470,Spot Operator,4.0,2.0,2400.0,0.0,19200.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2301-002,3106,INTELLA STORM 1000 4in1 RGBW LED Strobe 1000 w.,24.0,1.0,1500.0,0.0,36000.0,MJ-2301-0002,J2301-0002,AOMG World Tour
MK-QUO-2302-069,2969,grandMA 2 Full-Size Console,1.0,1.0,30000.0,0.0,30000.0,MJ-2302-0053,J2302-0043,Concert
MK-QUO-2301-028,0,For rehersal,0.0,1.5,0.0,0.0,0.0,MJ-2212-0049,J2212-0042,JAY B TAPE : PRESS PAUSE ENCORE IN BANGKOK
MK-QUO-2301-028,2487,CONFETTI FOR SOLENOID CUE 3 KG.,1.0,1.0,6000.0,0.0,6000.0,MJ-2212-0049,J2212-0042,JAY B TAPE : PRESS PAUSE ENCORE IN BANGKOK
MK-QUO-2301-028,2487,INSTALL AND OPERATE,1.0,1.0,12000.0,0.0,12000.0,MJ-2212-0049,J2212-0042,JAY B TAPE : PRESS PAUSE ENCORE IN BANGKOK
MK-QUO-2301-028,2487,ALUMINIUM TRUSS 5 M. WITH HOIST,1.0,1.5,6000.0,0.0,9000.0,MJ-2212-0049,J2212-0042,JAY B TAPE : PRESS PAUSE ENCORE IN BANGKOK
MK-QUO-2301-028,2487,CONFETTI FOR SOLENOID CUE 3 KG.,1.0,2.0,6000.0,0.0,12000.0,MJ-2212-0049,J2212-0042,JAY B TAPE : PRESS PAUSE ENCORE IN BANGKOK
MK-QUO-2301-028,2487,T-SHIRT GUN LAUNCHER,1.0,1.5,18000.0,0.0,27000.0,MJ-2212-0049,J2212-0042,JAY B TAPE : PRESS PAUSE ENCORE IN BANGKOK
MK-QUO-2301-028,2487,CO2 GUN + TANK 30 Kg.,2.0,1.5,4500.0,0.0,13500.0,MJ-2212-0049,J2212-0042,JAY B TAPE : PRESS PAUSE ENCORE IN BANGKOK
MK-QUO-2301-028,2487,SOLENOID 2.5 M. 4 UNITS + SOLENOID CONTROL,1.0,1.5,17000.0,0.0,25500.0,MJ-2212-0049,J2212-0042,JAY B TAPE : PRESS PAUSE ENCORE IN BANGKOK
